comment_id,author,date,chapter,heading_path,anchor_excerpt,reviewer_text,triage_category,triage_subsystem,triage_action,themes,fb_ll,sp,conformity_status,verdict_note,evidence_paths
8,Ovidiu  Lucian Coman,2026-05-07T14:02:00Z,1. Introduction,1. Introduction / 1.1 Purpose of the Report,"The report is a Stage 1 and Stage 2 decision-support document. It does not ask whether a site can be licensed, financed, procured, or built. It asks a narrower…",OK,ack,report-text,no-action; mark done,,,,not_applicable_ack,Acknowledgement ('OK') on §1.1 Purpose. No action required.,report/output/feedback/synthesised_comments/atoms_vs_ashes_report_feedback_triage.yaml
12,Ovidiu  Lucian Coman,2026-05-07T14:08:00Z,1. Introduction,1. Introduction / 1.3 Coal-to-Nuclear Transition Context,"For governments, the DOE guide highlights four practical questions that are directly relevant to this study [4]:",OK,ack,report-text,no-action; mark done,,,,not_applicable_ack,Acknowledgement ('OK') on §1.3 Coal-to-Nuclear Transition Context.,report/output/feedback/synthesised_comments/atoms_vs_ashes_report_feedback_triage.yaml
15,Ovidiu  Lucian Coman,2026-05-07T14:16:00Z,1. Introduction,"1. Introduction / 1.5 Data, Scoring, and Sensitivity Overview",provide,Take into account the,clarification,report-text,follow-up-with-reviewer-incomplete-comment,,,SP-A,needs_clarification,Reviewer text 'Take into account the' is incomplete; cannot act without full sentence.,report/output/feedback/synthesised_comments/atoms_vs_ashes_report_feedback_triage.yaml
32,Ovidiu  Lucian Coman,2026-05-07T14:35:00Z,3. Stage 2: Site Selection,3. Stage 2: Site Selection / 3.2 Evaluation Framework and Criterion Families,"The framework follows three principles. First, safety-related concerns are treated as controlling constraints, not as tradeable preferences",If the site failed a safety related criteria is most likely to be excluded. Or the engineering solution to protect the safety of the site are too excessive the…,methodology,methodology-doc,rewrite-3.2-safety-as-controlling-constraint-narrative,T4,FB-LL-04,SP-C,implemented,Stage 4 of feedback-rework-execution rewrote §3.2 safety-as-controlling-constraint narrative and added SSR-1 clause-map reference.,report/output/chapters/03_stage_2_site_selection.md; audit/conversations/2026-05-09_feedback-rework-execution.md
33,Ovidiu  Lucian Coman,2026-05-07T14:39:00Z,3. Stage 2: Site Selection,3. Stage 2: Site Selection / 3.2 Evaluation Framework and Criterion Families,Supports comparative screening of dose-pathway and population-context concerns.,If you cannot protect the population against exposure above the legal limist – this is an exclusionary criteria. So caoul be both – ranking aor exclusionary,exclusionary,methodology-doc,document-RI-04-and-dose-pathway-as-dual-mode,T4,FB-LL-05,SP-C,implemented,RI-04 dual-mode (avoidance/ranking OR exclusion when dose-feasibility fails) documented in rubric notes and chapter 3 §3.5.,config/scoring_rubrics/ri_radiological.yaml; report/output/chapters/03_stage_2_site_selection.md
35,Ovidiu  Lucian Coman,2026-05-07T14:41:00Z,3. Stage 2: Site Selection,3. Stage 2: Site Selection / 3.3 Safety-Related Criteria,Safety-related criteria have priority in Stage 2,Most of the exclusion criteria are safety related and apply to screening in Stage 1. The list of candidate sites going in stage 2 suppose to be free of exclusio…,methodology,methodology-doc,rewrite-3.3-safety-priority-clarify-stage1-vs-stage2,T4,FB-LL-04,SP-C,implemented,Stage 1 vs Stage 2 boundary paragraph landed in chapter 3 §3.3 per the execution log.,report/output/chapters/03_stage_2_site_selection.md; audit/conversations/2026-05-09_feedback-rework-execution.md
47,Ovidiu  Lucian Coman,2026-05-07T15:19:00Z,4. Results and Findings,4. Results and Findings / 4.1 Regional and Cross-Country Findings,CountrySites in regional top 20Interpretation,"Ce inseamna numarul de amplasamente – cele care au scorul cel mai mare, sau au trecut fara flaguri?  Fiinca in tabelul urmator arati ca pentru fiecare tara sunt…",wording,report-text,add-table-caption-clarifying-n-sites-meaning,T6,,SP-A,implemented,§4.1 'Sites in regional top 20' table caption added per Stage 1 closeout.,report/output/chapters/04_results_and_findings.md; audit/conversations/2026-05-09_feedback-rework-execution.md
49,Ovidiu  Lucian Coman,2026-05-07T15:22:00Z,4. Results and Findings,4. Results and Findings / 4.2 Per-Country Top Candidate Sites,CountryLeading candidate sites for selection reviewRanking qualification,Pune titlu la table care sa explice ce contine tabelul,wording,report-text,add-table-caption,T6,,SP-A,implemented,§4.2 'Per-Country Top Candidate Sites' caption added per Stage 1 closeout.,report/output/chapters/04_results_and_findings.md; audit/conversations/2026-05-09_feedback-rework-execution.md
65,Ovidiu  Lucian Coman,2026-05-07T15:26:00Z,5. Country and Site Profiles,5. Country and Site Profiles / Austria Country Profile / Exclusionary Failure Pareto,,Analiza asta ar trebui facuta pentru fiecare tara – poti ilustra un exemplu pentru o tara anume  Daca ai exemplificat doar pt Austria este o.k.,wording,report-text,caption-pareto-as-illustrative-example-or-generalise,T6,FB-LL-07,SP-A,implemented,Austrian Pareto caption labelled illustrative example (AT_country_prototype.md line 51).,report/output/chapters/05_country_and_site_profiles/AT_country_prototype.md; audit/conversations/2026-05-09_feedback-rework-execution.md
72,Ovidiu  Lucian Coman,2026-05-07T15:43:00Z,5. Country and Site Profiles,5. Country and Site Profiles / Austria Country Profile / Riedersbach power station Site Profile / Site Snapshot,Ownership and Coal-to-Nuclear Context,Scoring si waight associate pot fi revizuit dupa analiza rezultatelor obtinute. La toate categoriile de criterile enumerate mai jost (in idea de a creste rangei…,weights,swing-weights,defer-to-post-rerun-rebalancing,T8,FB-LL-10,SP-H,deferred_by_reviewer_or_policy,Explicitly deferred by reviewer ('Nu acuma ci in versiunea ulterioara'); parked in SP-H backlog.,report/output/feedback/plans/SP-H_backlog.plan.md
