criterion_id,code,phase,audit_item_type,threshold_intent,band_conversion,data_application,suitability_role,current_impact_rows,current_fail_or_caution_rows,decision,evidence
EP-01,E8,exclusionary,hard_rule,hard threshold with metadata default < 30 points,pass_mark=5.0; first-match bands must align with hard rule,review: site_emergency.nearest_hospital_km; site_emergency.nearest_trauma_center_km,hard unsuitable when fail is triggered,2904,456,fix_or_enrich_data_application,"ep01_composite_score < 30 or nearest_trauma_center_km > 60; impacts=inconclusive:2448, fail:456"
EP-01,E8:floor,exclusionary,safety_floor,Safety-floor backstop at pass_mark=5.0.,review: floor can hard-exclude rankable low-score sites,review: site_emergency.nearest_hospital_km; site_emergency.nearest_trauma_center_km,hard exclusion via score floor,1680,1680,review_floor_policy,ep01_composite_score < 30 or nearest_trauma_center_km > 60; impacts=fail:1680
NH-02,E1,exclusionary,hard_rule,hard threshold with metadata default < 5.0 km,pass_mark=5.0; first-match bands must align with hard rule,ok,hard unsuitable when fail is triggered,2904,400,validated_or_domain_review_only,"nearest_fault_km < 5 or (fault_slip_rate_mm_yr >= 2 and nearest_fault_km < 5); impacts=pass:2504, fail:400"
NH-02,E1:floor,exclusionary,safety_floor,Safety-floor backstop at pass_mark=5.0.,review: floor can hard-exclude rankable low-score sites,ok,hard exclusion via score floor,304,304,review_floor_policy,nearest_fault_km < 5 or (fault_slip_rate_mm_yr >= 2 and nearest_fault_km < 5); impacts=fail:304
NH-03,E2,exclusionary,hard_rule,hard threshold from rubric descriptor; domain source review required,pass_mark=5.0; first-match bands must align with hard rule,review: has_remedy,hard unsuitable when fail is triggered,2904,0,fix_or_enrich_data_application,"liquefaction_suscept == 'very_high' and has_remedy == false; impacts=pass:2896, inconclusive:8"
NH-03,E2:floor,exclusionary,safety_floor,Safety-floor backstop at pass_mark=5.0.,review: floor can hard-exclude rankable low-score sites,review: has_remedy,hard exclusion via score floor,8,8,review_floor_policy,liquefaction_suscept == 'very_high' and has_remedy == false; impacts=fail:8
NH-04,E3,exclusionary,hard_rule,hard threshold with metadata default >= 25 degrees,pass_mark=5.0; first-match bands must align with hard rule,ok,hard unsuitable when fail is triggered,2904,24,validated_or_domain_review_only,"slope_angle_deg >= 25 or slope_stability_class == 'catastrophic'; impacts=pass:2880, fail:24"
NH-04,E3:floor,exclusionary,safety_floor,Safety-floor backstop at pass_mark=5.0.,review: floor can hard-exclude rankable low-score sites,ok,hard exclusion via score floor,1288,1288,review_floor_policy,slope_angle_deg >= 25 or slope_stability_class == 'catastrophic'; impacts=fail:1288
NH-05,E5,exclusionary,hard_rule,hard threshold from rubric descriptor; domain source review required,pass_mark=5.0; first-match bands must align with hard rule,ok,hard unsuitable when fail is triggered,2904,8,validated_or_domain_review_only,"karst_severity == 'high'; impacts=pass:2896, fail:8"
NH-05,E5:floor,exclusionary,safety_floor,Safety-floor backstop at pass_mark=5.0.,review: floor can hard-exclude rankable low-score sites,ok,hard exclusion via score floor,824,824,review_floor_policy,karst_severity == 'high'; impacts=fail:824
NH-05,E6,exclusionary,hard_rule,hard threshold from rubric descriptor; domain source review required,pass_mark=5.0; first-match bands must align with hard rule,ok,hard unsuitable when fail is triggered,2904,800,validated_or_domain_review_only,"mining_void_present == true; impacts=pass:2104, fail:800"
NH-05,E6:floor,exclusionary,safety_floor,Safety-floor backstop at pass_mark=5.0.,review: floor can hard-exclude rankable low-score sites,ok,hard exclusion via score floor,32,32,review_floor_policy,mining_void_present == true; impacts=fail:32
NH-07,E4,exclusionary,hard_rule,hard threshold with metadata default < 50 km,pass_mark=5.0; first-match bands must align with hard rule,review: in_pyroclastic_zone,hard unsuitable when fail is triggered,2904,0,fix_or_enrich_data_application,nearest_volcano_km < 50 or in_pyroclastic_zone == true; impacts=inconclusive:2904
NH-07,E4:floor,exclusionary,safety_floor,Safety-floor backstop at pass_mark=5.0.,review: floor can hard-exclude rankable low-score sites,review: in_pyroclastic_zone,hard exclusion via score floor,0,0,review_floor_policy,nearest_volcano_km < 50 or in_pyroclastic_zone == true; impacts=no rows
NH-10,project_wind_envelope,exclusionary,hard_rule,hard threshold with metadata default > 49 m/s,pass_mark=5.0; first-match bands must align with hard rule,review: site_natural_hazards.extreme_wind_ms,hard unsuitable when fail is triggered,0,0,fix_or_enrich_data_application,max_wind_speed_ms > 49; impacts=no rows
NH-10,project_wind_envelope:floor,exclusionary,safety_floor,Safety-floor backstop at pass_mark=5.0.,review: floor can hard-exclude rankable low-score sites,review: site_natural_hazards.extreme_wind_ms,hard exclusion via score floor,0,0,review_floor_policy,max_wind_speed_ms > 49; impacts=no rows
NS-01,E9,exclusionary,hard_rule,hard threshold from rubric descriptor; domain source review required,pass_mark=5.0; first-match bands must align with hard rule,review: dry_cooling_viable; site_natural_hazards.spi12_min,hard unsuitable when fail is triggered,2904,0,fix_or_enrich_data_application,"cooling_source_type in ['none', null] and dry_cooling_viable == false; impacts=pass:2904"
NS-01,E9:floor,exclusionary,safety_floor,Safety-floor backstop at pass_mark=5.0.,review: floor can hard-exclude rankable low-score sites,review: dry_cooling_viable; site_natural_hazards.spi12_min,hard exclusion via score floor,0,0,review_floor_policy,"cooling_source_type in ['none', null] and dry_cooling_viable == false; impacts=no rows"
NS-08,E7,exclusionary,hard_rule,hard threshold from rubric descriptor; domain source review required,pass_mark=5.0; first-match bands must align with hard rule,ok,hard unsuitable when fail is triggered,2904,0,validated_or_domain_review_only,site_within_strict_protected == true; impacts=inconclusive:2904
NS-08,E7:floor,exclusionary,safety_floor,Safety-floor backstop at pass_mark=5.0.,review: floor can hard-exclude rankable low-score sites,ok,hard exclusion via score floor,32,32,review_floor_policy,site_within_strict_protected == true; impacts=fail:32
HI-01,A1,avoidance,avoidance_rule,"avoidance threshold: risk flag and ranking pressure, not intrinsic hard exclusion",no pass_mark; direct fail_condition only,review: site_human_induced.nearest_military_airfield_km,avoidance caution; should not be labelled as hard unsuitable,2904,592,fix_or_enrich_data_application,"nearest_airport_km < 10 and nearest_airport_type in ['small', 'small_ga', 'general_aviation', 'light', 'small_airport']; impacts=pass:2312, caution:592"
HI-01,A2,avoidance,avoidance_rule,"avoidance threshold: risk flag and ranking pressure, not intrinsic hard exclusion",no pass_mark; direct fail_condition only,review: site_human_induced.nearest_military_airfield_km,avoidance caution; should not be labelled as hard unsuitable,2904,88,fix_or_enrich_data_application,"nearest_airport_km < 15 and nearest_airport_type in ['commercial', 'large_intl', 'large_airport', 'large', 'medium']; impacts=pass:2816, caution:88"
HI-01,A3,avoidance,avoidance_rule,"avoidance threshold: risk flag and ranking pressure, not intrinsic hard exclusion",no pass_mark; direct fail_condition only,review: site_human_induced.nearest_military_airfield_km,avoidance caution; should not be labelled as hard unsuitable,2904,0,fix_or_enrich_data_application,"nearest_military_airfield_km < 30 or (nearest_airport_km < 30 and nearest_airport_type in ['military', 'military_major', 'military_minor', 'military_base']); impacts=inconclusive:2904"
HI-01,A4,avoidance,avoidance_rule,"avoidance threshold: risk flag and ranking pressure, not intrinsic hard exclusion",no pass_mark; direct fail_condition only,review: site_human_induced.nearest_military_airfield_km,avoidance caution; should not be labelled as hard unsuitable,2904,0,fix_or_enrich_data_application,under_flight_path == true or flight_path_distance_km < 4; impacts=inconclusive:2904
HI-02,A7,avoidance,avoidance_rule,"avoidance threshold: risk flag and ranking pressure, not intrinsic hard exclusion",no pass_mark; direct fail_condition only,review: site_human_induced.nearest_ied_km,avoidance caution; should not be labelled as hard unsuitable,2904,0,fix_or_enrich_data_application,"nearest_seveso_km < 5; impacts=inconclusive:2840, pass:64"
HI-03,A8,avoidance,avoidance_rule,"avoidance threshold: risk flag and ranking pressure, not intrinsic hard exclusion",no pass_mark; direct fail_condition only,review: site_human_induced.toxic_source_type,avoidance caution; should not be labelled as hard unsuitable,2904,248,fix_or_enrich_data_application,"nearest_toxic_source_km < 8; impacts=inconclusive:2240, pass:416, caution:248"
HI-06,A5,avoidance,avoidance_rule,"avoidance threshold: risk flag and ranking pressure, not intrinsic hard exclusion",no pass_mark; direct fail_condition only,review: site_human_induced.military_type,avoidance caution; should not be labelled as hard unsuitable,2904,0,fix_or_enrich_data_application,"nearest_military_km < 30 and military_type in ['firing_range', 'bombing_range', 'practice_range']; impacts=pass:2568, inconclusive:336"
HI-06,A6,avoidance,avoidance_rule,"avoidance threshold: risk flag and ranking pressure, not intrinsic hard exclusion",no pass_mark; direct fail_condition only,review: site_human_induced.military_type,avoidance caution; should not be labelled as hard unsuitable,2904,0,fix_or_enrich_data_application,"nearest_military_km < 8 and military_type == 'ammunition_storage'; impacts=pass:2568, inconclusive:336"
NH-01,A10,avoidance,avoidance_rule,"avoidance threshold: risk flag and ranking pressure, not intrinsic hard exclusion",no pass_mark; direct fail_condition only,review: site_natural_hazards.vs30_ms,avoidance caution; should not be labelled as hard unsuitable,2904,880,fix_or_enrich_data_application,"pga_2475yr_g > 0.5; impacts=pass:1896, caution:880, inconclusive:128"
NH-08,A9,avoidance,avoidance_rule,"avoidance threshold: risk flag and ranking pressure, not intrinsic hard exclusion",no pass_mark; direct fail_condition only,ok,avoidance caution; should not be labelled as hard unsuitable,2904,0,valid_as_risk_flag,coast_distance_km < 10 and elevation_m < 50; impacts=inconclusive:2904
NH-09,A11,avoidance,avoidance_rule,"avoidance threshold: risk flag and ranking pressure, not intrinsic hard exclusion",no pass_mark; direct fail_condition only,review: site_natural_hazards.elevation_above_design_flood_m,avoidance caution; should not be labelled as hard unsuitable,2904,0,fix_or_enrich_data_application,river_distance_km < 4 and elevation_above_design_flood_m < 30.5; impacts=inconclusive:2904
NS-02,A13,avoidance,avoidance_rule,"avoidance threshold: risk flag and ranking pressure, not intrinsic hard exclusion",no pass_mark; direct fail_condition only,ok,avoidance caution; should not be labelled as hard unsuitable,2904,1440,valid_as_risk_flag,"grid_export_capacity_mw < 462; impacts=pass:1448, caution:1440, inconclusive:16"
NS-03,A14,avoidance,avoidance_rule,"avoidance threshold: risk flag and ranking pressure, not intrinsic hard exclusion",no pass_mark; direct fail_condition only,ok,avoidance caution; should not be labelled as hard unsuitable,2904,8,valid_as_risk_flag,"heavy_haul_capable == false; impacts=pass:2896, caution:8"
NS-05,A15,avoidance,avoidance_rule,"avoidance threshold: risk flag and ranking pressure, not intrinsic hard exclusion",no pass_mark; direct fail_condition only,ok,avoidance caution; should not be labelled as hard unsuitable,2904,688,valid_as_risk_flag,"largest_contiguous_ha < 14; impacts=pass:2168, caution:688, inconclusive:48"
RI-04,A12,avoidance,avoidance_rule,"avoidance threshold: risk flag and ranking pressure, not intrinsic hard exclusion",no pass_mark; direct fail_condition only,ok,avoidance caution; should not be labelled as hard unsuitable,5808,1064,valid_as_risk_flag,"pop_density_5km > 500 or pop_density_16km > 600 or pop_density_25km > 600 or pop_density_80km > 300; impacts=inconclusive:2904, pass:1840, caution:1064"
RI-05,A12,avoidance,avoidance_rule,"avoidance threshold: risk flag and ranking pressure, not intrinsic hard exclusion",no pass_mark; direct fail_condition only,review: site_radiological.nearest_city_pop_25k_km; site_radiological.nearest_city_pop_100k_km; site_radiological.nearest_city_pop_500k_km; site_radiological.nearest_city_pop_1M_km,avoidance caution; should not be labelled as hard unsuitable,5808,1064,fix_or_enrich_data_application,"nearest_city_pop_25k_km < 8 or nearest_city_pop_100k_km < 16 or nearest_city_pop_500k_km < 32 or nearest_city_pop_1M_km < 48; impacts=inconclusive:2904, pass:1840, caution:1064"
