ssr1_requirement_id,ssr1_title,ssr1_section,criterion_id,criterion_name,coverage,notes
SSR-1/Req-1,Responsibilities in site evaluation,Section 3 — Roles and responsibilities,,,out_of_scope,Programmatic obligation on operator/regulator. Atoms-vs-Ashes is a pre-screening study; responsibilities are addressed in the operational stage.
SSR-1/Req-2,Process of site evaluation,Section 3 — Process,BF-01,Grid export / connection adequacy,screening_only,The basic-filter family captures the upstream eligibility gates (grid adequacy and minimum land footprint) before hazard assessment proper begins.
SSR-1/Req-2,Process of site evaluation,Section 3 — Process,BF-02,Land / nuclear-island footprint,screening_only,The basic-filter family captures the upstream eligibility gates (grid adequacy and minimum land footprint) before hazard assessment proper begins.
SSR-1/Req-3,Considerations for site evaluation (information quality),Section 3 — Considerations,,,out_of_scope,"Information-quality considerations are handled by the data provenance layer (API-primary / LLM-fallback) and the assumption register, not by an individual scoring criterion."
SSR-1/Req-4,Earthquakes (vibratory ground motion),Section 4 — External events of natural origin,NH-01,Seismic ground motion (PGA),full,"PGA, liquefaction/settlement and bedrock/foundation conditions together cover the substantive Req-4 obligations at screening resolution."
SSR-1/Req-4,Earthquakes (vibratory ground motion),Section 4 — External events of natural origin,NH-03,Geotechnical - settlement and liquefaction,full,"PGA, liquefaction/settlement and bedrock/foundation conditions together cover the substantive Req-4 obligations at screening resolution."
SSR-1/Req-4,Earthquakes (vibratory ground motion),Section 4 — External events of natural origin,NH-06,"Foundation conditions (bearing, bedrock, groundwater)",full,"PGA, liquefaction/settlement and bedrock/foundation conditions together cover the substantive Req-4 obligations at screening resolution."
SSR-1/Req-5,Surface faulting (capable faults),Section 4 — External events of natural origin,NH-02,Seismic surface rupture (capable faults),full,
SSR-1/Req-6,"Meteorological hazards (extreme winds, temperatures, precipitation)",Section 4 — External events of natural origin,NH-10,Extreme winds,full,
SSR-1/Req-6,"Meteorological hazards (extreme winds, temperatures, precipitation)",Section 4 — External events of natural origin,NH-11,"Extreme precipitation (rain, snow, drought)",full,
SSR-1/Req-6,"Meteorological hazards (extreme winds, temperatures, precipitation)",Section 4 — External events of natural origin,NH-12,Extreme temperatures,full,
SSR-1/Req-7,"Flooding (river, coastal, surge, tsunami)",Section 4 — External events of natural origin,NH-08,"Coastal flooding (storm surge, tsunami)",full,
SSR-1/Req-7,"Flooding (river, coastal, surge, tsunami)",Section 4 — External events of natural origin,NH-09,River flooding,full,
SSR-1/Req-8,"Geotechnical hazards (slope stability, subsidence, karst)",Section 4 — External events of natural origin,NH-04,Geotechnical - slope stability,full,
SSR-1/Req-8,"Geotechnical hazards (slope stability, subsidence, karst)",Section 4 — External events of natural origin,NH-05,Subsidence / karst / mining / oil & gas,full,
SSR-1/Req-8,"Geotechnical hazards (slope stability, subsidence, karst)",Section 4 — External events of natural origin,NH-06,"Foundation conditions (bearing, bedrock, groundwater)",full,
SSR-1/Req-9,Volcanism,Section 4 — External events of natural origin,NH-07,Volcanism,full,
SSR-1/Req-10,"Other natural events (wildfire, biological hazards)",Section 4 — External events of natural origin,NH-13,Forest / wildfire,partial,Wildfire is covered; biological hazards (e.g. fouling organisms in cooling-water intakes) are deferred to detailed siting because no pan-regional dataset supports a screening rubric.
SSR-1/Req-11,External events caused by human activities,Section 5 — External events of human origin,HI-01,Aircraft crash hazard,full,"Aircraft crash, industrial explosions, toxic releases, external fires, transport hazmat corridors, military installations, EMI and other nuclear installations."
SSR-1/Req-11,External events caused by human activities,Section 5 — External events of human origin,HI-02,Industrial explosions (Seveso / IED),full,"Aircraft crash, industrial explosions, toxic releases, external fires, transport hazmat corridors, military installations, EMI and other nuclear installations."
SSR-1/Req-11,External events caused by human activities,Section 5 — External events of human origin,HI-03,Toxic / gas releases,full,"Aircraft crash, industrial explosions, toxic releases, external fires, transport hazmat corridors, military installations, EMI and other nuclear installations."
SSR-1/Req-11,External events caused by human activities,Section 5 — External events of human origin,HI-04,External fires,full,"Aircraft crash, industrial explosions, toxic releases, external fires, transport hazmat corridors, military installations, EMI and other nuclear installations."
SSR-1/Req-11,External events caused by human activities,Section 5 — External events of human origin,HI-05,Transport hazards (hazmat road / rail / pipe),full,"Aircraft crash, industrial explosions, toxic releases, external fires, transport hazmat corridors, military installations, EMI and other nuclear installations."
SSR-1/Req-11,External events caused by human activities,Section 5 — External events of human origin,HI-06,Military installations,full,"Aircraft crash, industrial explosions, toxic releases, external fires, transport hazmat corridors, military installations, EMI and other nuclear installations."
SSR-1/Req-11,External events caused by human activities,Section 5 — External events of human origin,HI-07,Electromagnetic interference,full,"Aircraft crash, industrial explosions, toxic releases, external fires, transport hazmat corridors, military installations, EMI and other nuclear installations."
SSR-1/Req-11,External events caused by human activities,Section 5 — External events of human origin,HI-08,Other nuclear installations,full,"Aircraft crash, industrial explosions, toxic releases, external fires, transport hazmat corridors, military installations, EMI and other nuclear installations."
SSR-1/Req-12,Population characteristics (current and projected),Section 6 — Effects on people and environment,RI-04,Population density (EPZ rings),full,
SSR-1/Req-12,Population characteristics (current and projected),Section 6 — Effects on people and environment,RI-05,Distance to large population centres (>50 k),full,
