code,action,criterion_id,criterion_name,condition_expr,descriptor,pass_mark,db_fields,expr_names,missing_context_names,missing_model_fields,threshold_default,threshold_units,threshold_op
E8,exclude,EP-01,Emergency-plan feasibility (composite),ep01_composite_score < 30 or nearest_trauma_center_km > 60,DRV-02 composite < 30 OR nearest Level-2+ trauma centre > 60 km.,5.0,"('site_emergency.ep01_composite_score', 'site_emergency.nearest_hospital_km', 'site_emergency.nearest_trauma_center_km')","('ep01_composite_score', 'nearest_trauma_center_km')",(),"('site_emergency.nearest_hospital_km', 'site_emergency.nearest_trauma_center_km')",30,points,<
E1,exclude,NH-02,Seismic surface rupture (capable faults),nearest_fault_km < 5 or (fault_slip_rate_mm_yr >= 2 and nearest_fault_km < 5),Capable fault within 5 km (project) / 8 km (SSG-35).,5.0,"('site_natural_hazards.nearest_fault_km', 'site_natural_hazards.fault_name', 'site_natural_hazards.fault_slip_rate_mm_yr')","('fault_slip_rate_mm_yr', 'nearest_fault_km')",(),(),5.0,km,<
E2,exclude,NH-03,Geotechnical - settlement and liquefaction,liquefaction_suscept == 'very_high' and has_remedy == false,Unacceptable liquefaction with no engineering remedy.,5.0,"('site_natural_hazards.liquefaction_suscept', 'site_natural_hazards.nh03_quality', 'site_natural_hazards.nh03_source', 'site_natural_hazards.bearing_capacity_kpa')","('has_remedy', 'liquefaction_suscept')","('has_remedy',)",(),,,
E3,exclude,NH-04,Geotechnical - slope stability,slope_angle_deg >= 25 or slope_stability_class == 'catastrophic',Catastrophic landslide / slope > 25 deg.,5.0,"('site_natural_hazards.slope_angle_deg', 'site_natural_hazards.slope_stability_class')","('slope_angle_deg', 'slope_stability_class')",(),(),25,degrees,>=
E5,exclude,NH-05,Subsidence / karst / mining / oil & gas,karst_severity == 'high',High karst severity (proxy for on-site voids until karst_depth_m enrichment lands).,5.0,"('site_natural_hazards.karst_present', 'site_natural_hazards.karst_severity', 'site_natural_hazards.karst_formation_type', 'site_natural_hazards.mining_void_present', 'site_natural_hazards.subsidence_risk_class')","('karst_severity',)",(),(),,,
E6,exclude,NH-05,Subsidence / karst / mining / oil & gas,mining_void_present == true,Mining voids present beneath / adjacent to site.,5.0,"('site_natural_hazards.karst_present', 'site_natural_hazards.karst_severity', 'site_natural_hazards.karst_formation_type', 'site_natural_hazards.mining_void_present', 'site_natural_hazards.subsidence_risk_class')","('mining_void_present',)",(),(),,,
E4,exclude,NH-07,Volcanism,nearest_volcano_km < 50 or in_pyroclastic_zone == true,< 50 km Holocene volcano or in mapped hazard zone.,5.0,"('site_natural_hazards.nearest_volcano_km', 'site_natural_hazards.volcano_name')","('in_pyroclastic_zone', 'nearest_volcano_km')","('in_pyroclastic_zone',)",(),50,km,<
project_wind_envelope,exclude,NH-10,Extreme winds,max_wind_speed_ms > 49,Fujita-equivalent gust > 49 m/s (177 km/h).,5.0,"('site_natural_hazards.max_wind_speed_ms', 'site_natural_hazards.extreme_wind_ms')","('max_wind_speed_ms',)",(),"('site_natural_hazards.extreme_wind_ms',)",49,m/s,>
E9,exclude,NS-01,Cooling water / ultimate heat sink,"cooling_source_type in ['none', null] and dry_cooling_viable == false",No viable cooling source AND dry cooling not viable.,5.0,"('site_infrastructure_v2.cooling_source_type', 'site_infrastructure_v2.cooling_source_name', 'site_infrastructure_v2.cooling_source_hyriv_id', 'site_infrastructure_v2.cooling_distance_km', 'site_infrastructure_v2.cooling_flow_m3s', 'site_infrastructure_v2.water_stress_score', 'site_natural_hazards.spi12_min')","('cooling_source_type', 'dry_cooling_viable')","('dry_cooling_viable',)","('site_natural_hazards.spi12_min',)",,,
E7,exclude,NS-08,Ecological sensitivity (Natura 2000 / WDPA),site_within_strict_protected == true,Site within strict-category Natura 2000 / WDPA.,5.0,"('site_infrastructure_v2.n2k_nearest_distance_km', 'site_infrastructure_v2.wdpa_nearest_distance_km', 'site_infrastructure_v2.ecological_natural_pct')","('site_within_strict_protected',)",(),(),,,
A1,avoidance_penalty,HI-01,Aircraft crash hazard,"nearest_airport_km < 10 and nearest_airport_type in ['small', 'small_ga', 'general_aviation', 'light', 'small_airport']",A1 — SSG-35: general-aviation / small airport < 10 km.,,"('site_human_induced.nearest_airport_km', 'site_human_induced.nearest_airport_type', 'site_human_induced.nearest_military_airfield_km', 'site_human_induced.flight_path_distance_km')","('nearest_airport_km', 'nearest_airport_type')",(),"('site_human_induced.nearest_military_airfield_km',)",,,
A2,avoidance_penalty,HI-01,Aircraft crash hazard,"nearest_airport_km < 15 and nearest_airport_type in ['commercial', 'large_intl', 'large_airport', 'large', 'medium']",A2 — Project: commercial / large-international airport < 15 km (SSG-35 ≥ 16 km).,,"('site_human_induced.nearest_airport_km', 'site_human_induced.nearest_airport_type', 'site_human_induced.nearest_military_airfield_km', 'site_human_induced.flight_path_distance_km')","('nearest_airport_km', 'nearest_airport_type')",(),"('site_human_induced.nearest_military_airfield_km',)",,,
A3,avoidance_penalty,HI-01,Aircraft crash hazard,"nearest_military_airfield_km < 30 or (nearest_airport_km < 30 and nearest_airport_type in ['military', 'military_major', 'military_minor', 'military_base'])",A3 — Project: military airport < 30 km (SSG-35 ≥ 16 km military).,,"('site_human_induced.nearest_airport_km', 'site_human_induced.nearest_airport_type', 'site_human_induced.nearest_military_airfield_km', 'site_human_induced.flight_path_distance_km')","('nearest_airport_km', 'nearest_airport_type', 'nearest_military_airfield_km')",(),"('site_human_induced.nearest_military_airfield_km',)",,,
A4,avoidance_penalty,HI-01,Aircraft crash hazard,under_flight_path == true or flight_path_distance_km < 4,A4 — SSG-35: flight-path overhead / < 4 km from airway.,,"('site_human_induced.nearest_airport_km', 'site_human_induced.nearest_airport_type', 'site_human_induced.nearest_military_airfield_km', 'site_human_induced.flight_path_distance_km')","('flight_path_distance_km', 'under_flight_path')",(),"('site_human_induced.nearest_military_airfield_km',)",,,
A7,avoidance_penalty,HI-02,Industrial explosions (Seveso / IED),nearest_seveso_km < 5,Project avoidance: >= 5 km from flammable/toxic/explosive storage.,,"('site_human_induced.nearest_seveso_km', 'site_human_induced.nearest_ied_km')","('nearest_seveso_km',)",(),"('site_human_induced.nearest_ied_km',)",5,km,<
A8,avoidance_penalty,HI-03,Toxic / gas releases,nearest_toxic_source_km < 8,Project avoidance: >= 8 km from hazardous-cloud sources.,,"('site_human_induced.nearest_toxic_source_km', 'site_human_induced.toxic_source_type')","('nearest_toxic_source_km',)",(),"('site_human_induced.toxic_source_type',)",8,km,<
A5,avoidance_penalty,HI-06,Military installations,"nearest_military_km < 30 and military_type in ['firing_range', 'bombing_range', 'practice_range']",Project A5: >= 30 km from practice/bombing/firing ranges.,,"('site_human_induced.nearest_military_km', 'site_human_induced.military_type')","('military_type', 'nearest_military_km')",(),"('site_human_induced.military_type',)",30,km,<
A6,avoidance_penalty,HI-06,Military installations,nearest_military_km < 8 and military_type == 'ammunition_storage',Project A6: >= 8 km from ammunition storage.,,"('site_human_induced.nearest_military_km', 'site_human_induced.military_type')","('military_type', 'nearest_military_km')",(),"('site_human_induced.military_type',)",8,km,<
A10,avoidance_penalty,NH-01,Seismic ground motion (PGA),pga_2475yr_g > 0.5,Project screening: PGA(2475 yr) > 0.5 g fails Phase 2.,,"('site_natural_hazards.nh01_pga_475yr_g', 'site_natural_hazards.nh01_pga_2475yr_g', 'site_natural_hazards.vs30_ms')","('pga_2475yr_g',)",(),"('site_natural_hazards.vs30_ms',)",0.5,g,>
A9,avoidance_penalty,NH-08,"Coastal flooding (storm surge, tsunami)",coast_distance_km < 10 and elevation_m < 50,">= 10 km from sea / >= 1 km from lake, or elevation >= 50 m AMSL.",,"('site_natural_hazards.coast_distance_km', 'site_natural_hazards.storm_surge_class', 'site_natural_hazards.tsunami_zone_flag', 'sites.elevation_m')","('coast_distance_km', 'elevation_m')",(),(),10,km,<
A11,avoidance_penalty,NH-09,River flooding,river_distance_km < 4 and elevation_above_design_flood_m < 30.5,Project avoidance: >= 4 km OR vertical separation >= 30.5 m (100 ft).,,"('site_natural_hazards.river_distance_km', 'site_natural_hazards.elevation_above_design_flood_m', 'site_natural_hazards.flood_zone_class_500yr')","('elevation_above_design_flood_m', 'river_distance_km')",(),"('site_natural_hazards.elevation_above_design_flood_m',)",4,km,<
A13,avoidance_penalty,NS-02,Grid connection (detailed),grid_export_capacity_mw < 462,Project A13: transmission >= reference SMR net MWe within feasible distance.,,"('site_infrastructure_v2.nearest_substation_km', 'site_infrastructure_v2.nearest_hv_line_km', 'site_infrastructure_v2.hv_line_voltage_kv', 'site_infrastructure_v2.grid_export_capacity_mw')","('grid_export_capacity_mw',)",(),(),462,MW,<
A14,avoidance_penalty,NS-03,Transport access (heavy haul road / rail / port),heavy_haul_capable == false,Project A14: heavy-haul access >= 700 t segment capacity.,,"('site_infrastructure_v2.nearest_highway_km', 'site_infrastructure_v2.nearest_rail_km', 'site_infrastructure_v2.nearest_waterway_km', 'site_infrastructure_v2.heavy_haul_capable')","('heavy_haul_capable',)",(),(),,,
A15,avoidance_penalty,NS-05,Land availability / ownership / zoning,largest_contiguous_ha < 14,Project A15: >= 14 ha contiguous industrial land.,,"('site_infrastructure_v2.buildable_area_ha', 'site_infrastructure_v2.largest_contiguous_ha', 'site_infrastructure_v2.patch_count')","('largest_contiguous_ha',)",(),(),14,ha,<
A12,avoidance_penalty,RI-04,Population density (EPZ rings),pop_density_5km > 500 or pop_density_16km > 600 or pop_density_25km > 600 or pop_density_80km > 300,Project A12: population thresholds per RI-04/RI-05.,,"('site_radiological.pop_density_5km', 'site_radiological.pop_density_16km', 'site_radiological.pop_density_25km', 'site_radiological.pop_density_80km')","('pop_density_16km', 'pop_density_25km', 'pop_density_5km', 'pop_density_80km')",(),(),,,
A12,avoidance_penalty,RI-05,Distance to large population centres (>50 k),nearest_city_pop_25k_km < 8 or nearest_city_pop_100k_km < 16 or nearest_city_pop_500k_km < 32 or nearest_city_pop_1M_km < 48,"Project thresholds: 25k/>=8 km, 100k/>=16 km, 500k/>=32 km, 1M/>=48 km.",,"('site_radiological.nearest_city_pop_25k_km', 'site_radiological.nearest_city_pop_100k_km', 'site_radiological.nearest_city_pop_500k_km', 'site_radiological.nearest_city_pop_1M_km')","('nearest_city_pop_100k_km', 'nearest_city_pop_1M_km', 'nearest_city_pop_25k_km', 'nearest_city_pop_500k_km')",(),"('site_radiological.nearest_city_pop_25k_km', 'site_radiological.nearest_city_pop_100k_km', 'site_radiological.nearest_city_pop_500k_km', 'site_radiological.nearest_city_pop_1M_km')",,,
